rank,Status_name,Youtuber,subscribers,video_views,category,uploads,Country,Abbreviation,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_day,Created_month_number,Created_date
509,ok,The Game Theorists,17600000,3752347262,Gaming,0,Australia,AU,3612215,6095,,,0,0,0,0,,,,,#N/A,#N/A
510,ok,DeGoBooM,17600000,6306204566,Gaming,4702,Chile,CL,973,3,36,100215000,25100,400900,300600,4800000,500000,2014,Feb,1,2,2/1/2014
511,ok,JFlaMusic,17600000,3802280098,Music,326,South Korea,KR,2056,12,109,11099000,2800,44400,33300,532700,,2011,Aug,22,8,8/22/2011
512,ok,FactTechz,17500000,2238134438,Entertainment,709,India,IN,4243,86,124,21056000,5300,84200,63200,1000000,,2016,Jul,24,7,7/24/2016
513,ok,News18 India,17500000,7263619576,News & Politics,182742,India,IN,770,85,10,394106000,98500,1600000,1200000,18900000,700000,2007,Oct,25,10,10/25/2007
514,ok,Fun For Kids TV - Hindi Rhymes,17500000,7612385622,Entertainment,149,India,IN,723,86,124,109847000,27500,439400,329500,5300000,300000,2017,Sep,27,9,9/27/2017
515,ok,IGN,17500000,16107116549,Gaming,156215,United States,US,189,129,37,98342000,24600,393400,295000,4700000,,2006,Sep,19,9,9/19/2006
516,ok,Aphmau,17400000,17763586483,Gaming,4411,United States,US,152,129,37,439870000,110000,1800000,1300000,21100000,400000,2012,Aug,13,8,8/13/2012
517,corrupted,AMARINTV : ������������,17400000,13043561912,Entertainment,118448,Thailand,TH,286,8,11,235993000,59000,944000,708000,11300000,200000,2014,Feb,5,2,2/5/2014
518,corrupted,���������������� - Al-Remas,17400000,11144195464,Music,2133,Iraq,IQ,371,1,110,113003000,28300,452000,339000,5400000,,2013,Sep,27,9,9/27/2013
519,ok,Koray Zeynep,17400000,16560557488,People & Blogs,2078,,,173,,31,426389000,106600,1700000,1300000,20500000,400000,2016,Jul,8,7,7/8/2016
520,ok,Apple,17300000,1026425106,Science & Technology,180,United States,US,11274,130,9,46484000,11600,185900,139500,2200000,100000,2005,Jun,22,6,6/22/2005
521,ok,Stubborn Facts,17300000,902225615,Film & Animation,287,India,IN,13315,87,125,837850,209,3400,2500,40200,,2016,Sep,5,9,9/5/2016
522,ok,Taarak Mehta Ka Ooltah Chashmah,17300000,11371738047,Entertainment,4778,India,IN,356,87,125,331944000,83000,1300000,995800,15900000,300000,2014,Aug,4,8,8/4/2014
523,ok,HowToBasic,17300000,3684816159,Howto & Style,582,Australia,AU,2146,6,17,15525000,3900,62100,46600,745200,,2011,Dec,8,12,12/8/2011
524,ok,PopularMMOs,17200000,14573155899,Gaming,4685,,,240,,38,15296000,3800,61200,45900,734200,100000,2012,Apr,17,4,4/17/2012
525,ok,Marques Brownlee,17200000,3606912471,Science & Technology,1567,United States,US,2196,131,10,52325000,13100,209300,157000,2500000,100000,2008,Mar,21,3,3/21/2008
526,ok,Anitta,17200000,7337212581,Music,138,Brazil,BR,769,28,111,72684000,18200,290700,218100,3500000,,2011,Nov,2,11,11/2/2011
527,ok,Jason Vlogs,17200000,8903647480,Education,83,Australia,AU,4031958,3450,7408,25,0.01,0.1,0.08,1,,2014,Sep,11,9,9/11/2014
528,ok,El Reino a Jugar,17200000,11445492404,Education,1007,Argentina,AR,353,11,28,83709000,20900,334800,251100,4000000,100000,2015,Mar,3,3,3/3/2015
529,ok,Willyrex,17200000,5024088947,Gaming,7550,Spain,ES,1359,9,38,15405000,3900,61600,46200,739500,,2009,Aug,9,8,8/9/2009
530,ok,TheBrianMaps,17100000,4448334716,Comedy,498,Russia,RU,1624,6,126,37164000,9300,148700,111500,1800000,100000,2012,Jun,4,6,6/4/2012
531,ok,TRANS TV Official,17100000,9710962528,Entertainment,148225,Indonesia,ID,472,18,127,45811000,11500,183200,137400,2200000,100000,2014,Sep,2,9,9/2/2014
532,ok,Liza Koshy,17100000,2173106162,Comedy,142,United States,US,4443,132,127,1761000,440,7000,5300,84500,,2013,Sep,2,9,9/2/2013
533,ok,Queen Official,17000000,10847948832,Music,1015,United Kingdom,GB,385,21,112,93768000,23400,375100,281300,4500000,100000,2008,Jul,7,7,7/7/2008
534,ok,Prajapati News,17000000,1001465469,Comedy,1407,India,IN,11662,89,128,7626000,1900,30500,22900,366100,100000,2013,Mar,14,3,3/14/2013
535,ok,Gaby and Alex,17000000,8229883114,Entertainment,1,,,4057752,,7732,,0,0,0,0,,2008,Aug,21,8,8/21/2008
536,ok,LuisFonsiVEVO,17000000,14543594822,Music,97,United States,US,241,133,112,49817000,12500,199300,149500,2400000,,2009,May,12,5,5/12/2009
537,ok,Pop Chartbusters,16900000,8684010451,Music,2235,India,IN,574,90,113,72911000,18200,291600,218700,3500000,200000,2011,Aug,26,8,8/26/2011
538,ok,Guava Juice,16900000,9111000228,Gaming,1910,United States,US,527,134,129,10889000,2700,43600,32700,522600,,2006,Jul,18,7,7/18/2006
539,ok,EeOneGuy,16900000,3827906874,Entertainment,366,United States,US,2039,134,129,1635000,409,6500,4900,78500,,2013,Mar,19,3,3/19/2013
540,ok,VICE,16900000,4609753237,Entertainment,3900,United States,US,1543,134,129,36357000,9100,145400,109100,1700000,100000,2005,Dec,16,12,12/16/2005
541,ok,Aayu and Pihu Show,16900000,9270331567,Comedy,441,India,IN,510,90,34,89782000,22400,359100,269300,4300000,,2017,May,8,5,5/8/2017
542,ok,Danny Fitt,16900000,9544277833,People & Blogs,2337,United States,US,488,134,129,275264000,68800,1100000,825800,13200000,700000,2016,Dec,31,12,12/31/2016
543,ok,Bispo Bruno Leonardo,16900000,3523578665,Nonprofits & Activism,4891,Brazil,BR,2307,29,2,149543000,37400,598200,448600,7200000,400000,2016,Apr,10,4,4/10/2016
544,ok,DeToxoMoroxo,16800000,2315962318,Entertainment,1,,,4056488,,5767,,0,0,0,0,,2016,Apr,30,4,4/30/2016
545,ok,Doggy Doggy Cartoons,16800000,6518418501,Entertainment,0,,,4057944,,,,0,0,0,0,,2018,Nov,11,11,11/11/2018
546,ok,deepesh zo,16800000,7206462713,People & Blogs,41,,,4038822,,7611,1,0,0,0,0.05,1,2021,Sep,24,9,9/24/2021
547,ok,Like Nastya IDN,16800000,7195314800,Entertainment,502,Indonesia,ID,795,19,130,42836000,10700,171300,128500,2100000,100000,2019,Nov,22,11,11/22/2019
548,corrupted,Gato Galactico | GAL��,16800000,3693798804,Film & Animation,1491,Brazil,BR,2129,30,130,44121000,11000,176500,132400,2100000,100000,2013,Apr,2,4,4/2/2013
549,ok,Salman Noman,16700000,10393037902,Entertainment,3,,,4057674,,,7,0,0.03,0.02,0.34,10,2022,May,14,5,5/14/2022
550,ok,CoryxKenshin,16700000,7102965621,Gaming,1693,United States,US,814,135,39,105114000,26300,420500,315300,5000000,200000,2009,Apr,27,4,4/27/2009
551,corrupted,With Kids[�����,16700000,8826138204,Entertainment,920,United States,US,559,135,130,45698000,11400,182800,137100,2200000,100000,2012,Jul,6,7,7/6/2012
552,ok,Travis Scott,16700000,7979736581,Music,13,United States,US,564542,1920,1751,37623,9,150,113,1800,,2010,Sep,1,9,9/1/2010
553,ok,Tu COSMOPOLIS,16700000,5089284369,People & Blogs,8741,Mexico,MX,1337,19,35,16139000,4000,64600,48400,774700,,2014,Aug,28,8,8/28/2014
554,ok,Ivana Alawi,16600000,1318442641,,180,Philippines,PH,8338,5,36,15079000,3800,60300,45200,723800,100000,2018,Jun,1,6,6/1/2018
555,ok,Werever2morro,16600000,2798273962,Entertainment,0,Mexico,MX,4057944,4248,7462,,0,0,0,0,,2010,Dec,7,12,12/7/2010
556,ok,IDEAS EN 5 MINUTOS,16600000,3696973456,Howto & Style,216,Spain,ES,3108857,2753,,65470,16,262,196,3100,,2017,Apr,2,4,4/2/2017
557,ok,NMF News,16600000,7435180827,News & Politics,112261,India,IN,749,91,12,59201000,14800,236800,177600,2800000,100000,2013,Oct,22,10,10/22/2013
558,ok,SriBalajiMovies,16600000,9439857193,Entertainment,20102,India,IN,497,91,132,154049000,38500,616200,462100,7400000,200000,2011,Sep,29,9,9/29/2011
559,ok,Lahari Music - TSeries,16600000,11946217860,Music,8976,India,IN,326,91,115,89012000,22300,356000,267000,4300000,100000,2011,Nov,21,11,11/21/2011
560,ok,Younes Zarou,16600000,15278668857,Entertainment,2200,Germany,DE,213,4,131,617257000,154300,2500000,1900000,29600000,900000,2021,May,6,5,5/6/2021
561,ok,Jordan Matter,16600000,5819508534,Entertainment,413,United States,US,1088,136,132,199033000,49800,796100,597100,9600000,300000,2006,Dec,21,12,12/21/2006
562,corrupted,�������� ����������������������,16500000,2440934034,Entertainment,421,United States,US,3778,137,133,21953000,5500,87800,65900,1100000,200000,2014,Mar,9,3,3/9/2014
563,ok,FailArmy,16500000,3037260680,Comedy,438,United States,US,2766,137,133,112986000,28200,451900,339000,5400000,100000,2011,Jul,5,7,7/5/2011
564,ok,BBC News Hindi,16500000,7043235131,News & Politics,21243,India,IN,821,92,13,131202000,32800,524800,393600,6300000,300000,2009,Sep,22,9,9/22/2009
565,ok,FunFun Toy Doll TV,16500000,7406207930,Entertainment,735,United States,US,757,137,133,24378000,6100,97500,73100,1200000,,2016,May,31,5,5/31/2016
566,ok,Sandra Cires Art,16400000,3955426159,Howto & Style,1091,United States,US,1938,138,134,18028000,4500,72100,54100,865300,,2011,Sep,27,9,9/27/2011
567,ok,Kaykai Salaider,16400000,4434679706,Comedy,428,Thailand,TH,1636,9,134,9341000,2300,37400,28000,448400,,2011,Jan,24,1,1/24/2011
568,ok,UFC - Ultimate Fighting Championship,16400000,7135820721,Sports,14662,United States,US,806,138,7,133208000,33300,532800,399600,6400000,100000,2006,Mar,4,3,3/4/2006
569,ok,Ch7HD,16400000,9463244435,Entertainment,56203,Thailand,TH,496,9,134,87757000,21900,351000,263300,4200000,100000,2010,May,17,5,5/17/2010
570,ok,RCTI - LAYAR DRAMA INDONESIA,16400000,13478392540,Entertainment,1,,,4057943,,7724,,0,0,0,0,,2020,Oct,19,10,10/19/2020
571,ok,Alfredo Larin,16400000,14431830557,Entertainment,1,,,4057780,,6788,1,0,0,0,0.05,,2015,Nov,23,11,11/23/2015
572,corrupted,GMMTV OFFICIAL��,16400000,12844432341,Entertainment,23952,Thailand,TH,294,9,134,181382000,45300,725500,544100,8700000,200000,2010,Sep,13,9,9/13/2010
573,ok,Matt Stonie,16300000,3527627264,Entertainment,54,United States,US,283499,1874,1836,29735,7,119,89,1400,,2010,Jun,19,6,6/19/2010
574,ok,Boyce Avenue,16300000,6578828147,Music,490,United States,US,913,139,117,28787000,7200,115100,86400,1400000,,2007,Sep,2,9,9/2/2007
575,ok,Camila Cabello,16300000,6613422635,Music,80,United States,US,906,139,117,42704000,10700,170800,128100,2000000,100000,2015,Aug,11,8,8/11/2015
576,ok,Little Mix,16300000,7520242626,Music,278,United Kingdom,GB,740,22,117,38604000,9700,154400,115800,1900000,,2011,Nov,30,11,11/30/2011
577,ok,SAM SMITH,16300000,10170264839,Music,230,United Kingdom,GB,428,22,135,85778000,21400,343100,257300,4100000,,2012,Sep,14,9,9/14/2012
578,ok,Pitbull,16300000,12475714382,Music,352,United States,US,308,139,117,88004000,22000,352000,264000,4200000,,2006,Jul,5,7,7/5/2006
579,ok,Bollywood Classics,16300000,7141825267,Entertainment,1444,India,IN,804,93,116,151477000,37900,605900,454400,7300000,300000,2011,Oct,13,10,10/13/2011
580,ok,Technoblade,16300000,1656452554,Gaming,989,United States,US,6274,138,40,17944000,4500,71800,53800,861300,200000,2013,Oct,28,10,10/28/2013
581,ok,W2S,16300000,4768370464,Gaming,652,United Kingdom,GB,1455,22,135,3079000,770,12300,9200,147800,,2012,Jul,26,7,7/26/2012
582,ok,Jennifer Lopez,16200000,10227242833,Music,258,United States,US,426,140,118,63441000,15900,253800,190300,3000000,,2005,Nov,18,11,11/18/2005
583,ok,Kids Play,16200000,8091706232,Entertainment,593,United States,US,636,140,136,25912000,6500,103600,77700,1200000,,2018,May,14,5,5/14/2018
584,ok,T3ddy,16200000,2990185467,Comedy,1930,Brazil,BR,2898,31,38,33015000,8300,132100,99000,1600000,100000,2012,Jan,16,1,1/16/2012
585,ok,JJ Olatunji,16200000,4076692623,Gaming,1294,United Kingdom,GB,1856,23,136,27808000,7000,111200,83400,1300000,100000,2011,Jan,26,1,1/26/2011
586,ok,POPS Kids,16200000,9763592867,Music,3943,Vietnam,VN,462,2,30,256733000,64200,1000000,770200,12300000,200000,2014,Jan,14,1,1/14/2014
587,ok,Thairath Online,16200000,14563841315,News & Politics,244899,Thailand,TH,238,10,14,224756000,56200,899000,674300,10800000,100000,2010,Sep,27,9,9/27/2010
588,ok,LEGO,16200000,20522339099,Entertainment,31889,Singapore,SG,116,1,136,117209000,29300,468800,351600,5600000,200000,2005,Oct,22,10,10/22/2005
589,ok,XO TEAM,16200000,14784781923,People & Blogs,189,United States,US,153622,1776,1495,37911,9,152,114,1800,1000,2020,Sep,12,9,9/12/2020
590,ok,AdMe,16200000,4488680903,Entertainment,10,Spain,ES,4048675,4228,5766,4,0,0.02,0.01,0.19,,2006,May,2,5,5/2/2006
591,ok,ExtraPolinesios,16200000,4813127504,People & Blogs,2,,,3945744,,7359,510,0.13,2,2,24,1,2015,Nov,21,11,11/21/2015
592,ok,Dyland PROS,16100000,1517638132,Entertainment,2805,Indonesia,ID,6986,21,41,9619000,2400,38500,28900,461700,,2015,Jan,28,1,1/28/2015
593,ok,Live,16100000,0,,0,,,4057944,,,,0,0,0,0,,2015,Jan,13,1,1/13/2015
594,ok,Vlad and Niki ARA,16100000,7399296005,,510,United States,US,759,141,137,32011000,8000,128000,96000,1500000,100000,2019,May,24,5,5/24/2019
595,ok,Canal IN,16100000,2687443643,People & Blogs,723,Brazil,BR,3338,32,137,13802000,3500,55200,41400,662500,,2017,Jul,21,7,7/21/2017
596,ok,TWICE,16100000,5055576881,Music,1123,,,1343,,119,98720000,24700,394900,296200,4700000,100000,2016,Mar,27,3,3/27/2016
597,ok,Daily Dose Of Internet,16100000,6872702790,Entertainment,671,United States,US,851,140,136,399807000,100000,1600000,1200000,19200000,300000,2015,Jul,15,7,7/15/2015
598,ok,FitDance,16100000,7126210721,Music,41,France,FR,4006012,3726,6335,780,0.2,3,2,37,4,2006,Nov,20,11,11/20/2006
599,ok,Panda Shorts,16100000,7155736006,,667,Sweden,SE,792,2,8,478528000,119600,1900000,1400000,23000000,3000000,2020,Nov,21,11,11/21/2020
600,ok,Disney Junior,16100000,15812009296,Entertainment,4045,United States,US,196,140,136,267131000,66800,1100000,801400,12800000,300000,2008,Apr,22,4,4/22/2008
601,ok,La Rosa de Guadalupe,16100000,9642146451,Entertainment,0,Mexico,MX,4057944,4258,7472,,0,0,0,0,,2008,Sep,3,9,9/3/2008
602,ok,sagar kalra (Shorts),16000000,6543629679,People & Blogs,453,,,921,,39,74062000,18500,296200,222200,3600000,200000,2017,Jun,30,6,6/30/2017
603,ok,wifistudy,16000000,3018032423,Education,52144,India,IN,2855,94,30,14287000,3600,57100,42900,685800,,2014,Jul,26,7,7/26/2014
604,ok,Antrax,16000000,3029872908,Gaming,687,Mexico,MX,2844,23,42,4698000,1200,18800,14100,225500,,2015,May,25,5,5/25/2015
605,ok,Enes Batur,16000000,9786595271,Gaming,0,,,4057944,,7360,,0,0,0,0,11,2007,Mar,4,3,3/4/2007
606,corrupted,Totoy kids - Espa��,16000000,5997599089,Film & Animation,344,Mexico,MX,1048,23,31,112393000,28100,449600,337200,5400000,200000,2017,Sep,7,9,9/7/2017
607,corrupted,����������,15900000,1845329502,People & Blogs,0,Russia,RU,4057944,3309,5665,,0,0,0,0,10,2017,May,27,5,5/27/2017
608,ok,DopeLyrics,15900000,9962188084,Music,2035,United States,US,444,142,120,9915000,2500,39700,29700,475900,,2016,Jun,9,6,6/9/2016
609,ok,jeffreestar,15900000,2609358468,Howto & Style,433,United States,US,3474,142,20,2006000,502,8000,6000,96300,,2006,Feb,14,2,2/14/2006
610,ok,Lyna,15900000,6534326412,Gaming,4906,Argentina,AR,919,12,43,64085000,16000,256300,192300,3100000,200000,2014,Sep,8,9,9/8/2014
611,ok,MK MUSIC,15900000,9198986881,Music,5105,Brazil,BR,516,33,120,136388000,34100,545600,409200,6500000,100000,2010,Jan,18,1,1/18/2010
612,ok,Unspeakable,15900000,9052367553,Gaming,796,United States,US,530,142,40,164895000,41200,659600,494700,7900000,200000,2016,May,1,5,5/1/2016
613,ok,Camilo,15900000,6802382479,Music,132,Colombia,CO,871,8,120,59890000,15000,239600,179700,2900000,100000,2010,Jul,29,7,7/29/2010
614,ok,Dear Sir,15800000,1349288771,Education,633,India,IN,8066,95,31,24056000,6000,96200,72200,1200000,200000,2016,Dec,13,12,12/13/2016
615,ok,Narendra Modi,15800000,3392918989,News & Politics,20679,India,IN,2406,96,15,185969000,46500,743900,557900,8900000,700000,2007,Oct,26,10,10/26/2007
616,ok,Arif muhammad,15800000,4122634467,People & Blogs,542,Indonesia,ID,1816,22,26,71870000,18000,287500,215600,3400000,100000,2017,Jan,18,1,1/18/2017
617,ok,Rotten Tomatoes Trailers,15800000,13116313599,Film & Animation,10441,United States,US,285,143,32,25738000,6400,103000,77200,1200000,100000,2011,Apr,1,4,4/1/2011
618,ok,Volga Video,15700000,9787697838,Film & Animation,16874,India,IN,463,97,139,51315000,12800,205300,153900,2500000,,2012,Mar,23,3,3/23/2012
619,ok,DM - Desi Melodies,15700000,5914071870,Music,79,India,IN,1071,97,121,141842000,35500,567400,425500,6800000,300000,2017,Jul,8,7,7/8/2017
620,ok,MY FAMILY,15700000,6153495609,,150,Singapore,SG,731590,1203,3244,939647,235,3800,2800,45100,800,2019,Dec,3,12,12/3/2019
621,ok,Team Films Bhojpuri,15700000,6626563508,Music,19703,India,IN,902,97,121,30744000,7700,123000,92200,1500000,,2014,Jul,18,7,7/18/2014
622,ok,Zee Music Classic,15700000,5558051295,Music,1640,India,IN,1174,97,121,86450000,21600,345800,259300,4100000,100000,2014,May,20,5,5/20/2014
623,ok,Prime Video India,15700000,8696631898,Entertainment,7090,United States,US,569,144,139,335111000,83800,1300000,1000000,16100000,1200000,2016,Oct,3,10,10/3/2016
624,ok,Caeli YT,15600000,1511794214,Entertainment,483,Mexico,MX,7440,24,140,62551000,0,0,0,0,,2010,Sep,22,9,9/22/2010
625,corrupted,Kuplinov ���,15600000,6862529416,Gaming,6623,,,863,,44,98660000,24700,394600,296000,4700000,200000,2012,Dec,23,12,12/23/2012
626,ok,Linus Tech Tips,15600000,7172386509,Science & Technology,6542,Canada,CA,802,7,11,88224000,22100,352900,264700,4200000,100000,2008,Nov,25,11,11/25/2008
627,ok,Juliana Baltar,15600000,3869457097,Entertainment,2019,Brazil,BR,2002,34,140,56218000,14100,224900,168700,2700000,100000,2010,May,9,5,5/9/2010
628,ok,5-Minute Crafts FAMILY,15600000,6165757696,People & Blogs,4245,United States,US,1005,145,21,27382000,6800,109500,82100,1300000,,2018,Dec,13,12,12/13/2018
629,corrupted,Blippi Espa��,15500000,8984089026,People & Blogs,598,Mexico,MX,538,24,32,90012000,22500,360000,270000,4300000,100000,2017,Jan,13,1,1/13/2017
630,ok,Super Senya,15500000,5070970714,Entertainment,0,,,4057944,,,,0,0,0,0,,2017,Jul,27,7,7/27/2017
631,ok,Katakit Baby TV,15500000,6386271870,Music,220,Saudi Arabia,SA,954,4,122,90914000,22700,363700,272700,4400000,200000,2010,Jul,26,7,7/26/2010
632,ok,Infobells Bangla,15500000,7776706184,Education,359,India,IN,687,98,32,167888000,42000,671600,503700,8100000,300000,2016,Jun,13,6,6/13/2016
633,corrupted,�������� �� ��������,15500000,8265129639,Shows,1021,Saudi Arabia,SA,619,4,33,135036000,33800,540100,405100,6500000,300000,2017,May,16,5,5/16/2017
634,ok,Henrique e Juliano,15500000,14619523361,Music,325,Brazil,BR,236,35,123,163678000,40900,654700,491000,7900000,,2009,Jun,27,6,6/27/2009
635,ok,Mr DegrEE,15500000,12880388253,Science & Technology,0,United States,US,4057944,5048,4453,,0,0,0,0,10,2016,Mar,2,3,3/2/2016
636,ok,Kashvi Adlakha,15500000,12714141740,Entertainment,1525,India,IN,300,99,141,139123000,34800,556500,417400,6700000,200000,2017,Apr,9,4,4/9/2017
637,ok,Talking Tom & Friends,15500000,6396049701,Entertainment,417,United States,US,956,146,34,27375000,6800,109500,82100,1300000,,2010,Oct,14,10,10/14/2010
638,corrupted,�������� �������������� ���� 5 ����������,15500000,4499826716,Howto & Style,5183,Egypt,EG,1597,1,22,32916000,8200,131700,98700,1600000,100000,2017,Dec,8,12,12/8/2017
639,ok,Harsh Beniwal,15400000,1781226000,Comedy,165,India,IN,5724,100,27,27963000,7000,111900,83900,1300000,100000,2015,May,6,5,5/6/2015
640,ok,FFUNTV,15400000,11513738907,Gaming,379,United Arab Emirates,AE,349,6,141,80172000,20000,320700,240500,3800000,200000,2018,Jul,18,7,7/18/2018
641,ok,Mobile Legends: Bang Bang,15400000,1543608082,Gaming,1647,United States,US,6793,147,45,55369000,13800,221500,166100,2700000,100000,2016,Jul,14,7,7/14/2016
642,ok,Roman Atwood Vlogs,15400000,5469103954,People & Blogs,1756,United States,US,1201,147,42,1583000,396,6300,4700,76000,,2013,Aug,12,8,8/12/2013
643,ok,Mrwhosetheboss,15400000,3736069980,Science & Technology,1577,United Kingdom,GB,2083,24,12,167697000,41900,670800,503100,8000000,400000,2011,Apr,20,4,4/20/2011
644,ok,Genierock,15400000,14564170905,Music,1725,Thailand,TH,239,11,124,82798000,20700,331200,248400,4000000,100000,2008,Mar,9,3,3/9/2008
645,ok,zayn,15400000,4909687948,Music,21,United States,US,1401,147,124,36790000,9200,147200,110400,1800000,100000,2016,Jan,26,1,1/26/2016
646,ok,Keraji 5-Menit,15400000,4750420071,People & Blogs,4186,Indonesia,ID,1461,23,23,19740000,4900,79000,59200,947500,,2018,Nov,21,11,11/21/2018
647,ok,FC Barcelona,15300000,2656528205,Sports,10988,Spain,ES,3356,11,9,84867000,21200,339500,254600,4100000,200000,2006,Feb,6,2,2/6/2006
648,ok,Dave and Ava - Nursery Rhymes and Baby Songs,15300000,10714145606,Education,851,United States,US,390,148,33,77053000,19300,308200,231200,3700000,,2014,Dec,4,12,12/4/2014
649,ok,LOKESH GAMER,15300000,1640078055,Gaming,1397,India,IN,6356,101,46,5920000,1500,23700,17800,284200,,2017,Nov,16,11,11/16/2017
650,ok,ILYA BORZOV,15300000,9938811455,People & Blogs,2175,Russia,RU,441,8,42,475565000,118900,1900000,1400000,22800000,800000,2021,Apr,1,4,4/1/2021
651,ok,Mazhavil Manorama,15300000,16545966132,Entertainment,87864,India,IN,175,100,142,361483000,90400,1400000,1100000,17400000,300000,2011,Oct,31,10,10/31/2011
652,corrupted,Pok���������,15200000,857725714,People & Blogs,194,India,IN,13929,100,35,65380000,16300,261500,196100,3100000,1300000,2017,Oct,15,10,10/15/2017
653,ok,The MriDul,15200000,4503880875,Comedy,106,India,IN,1593,102,28,98329000,24600,393300,295000,4700000,200000,2015,Mar,14,3,3/14/2015
654,ok,Niana Guerrero,15200000,1491452935,Entertainment,443,Philippines,PH,7153,6,144,9980000,2500,39900,29900,479000,,2013,Apr,11,4,4/11/2013
655,ok,SRK MUSIC,15200000,6391679636,Music,5056,India,IN,955,102,126,57809000,14500,231200,173400,2800000,200000,2012,Mar,16,3,3/16/2012
656,ok,Sony LIV,15200000,7151683497,Entertainment,11099,India,IN,794,102,144,210909000,52700,843600,632700,10100000,300000,2014,May,2,5,5/2/2014
657,ok,T-Series Hamaar Bhojpuri,15200000,7564652648,Entertainment,9862,India,IN,728,101,125,105978000,26500,423900,317900,5100000,200000,2011,Nov,1,11,11/1/2011
658,corrupted,Oyuncak Av�,15200000,8333387785,Entertainment,654,Turkey,TR,615,5,144,4427000,1100,17700,13300,212500,,2014,Dec,29,12,12/29/2014
659,ok,CNN,15200000,14198154095,News & Politics,160405,United States,US,247,148,16,187006000,46800,748000,561000,9000000,100000,2005,Oct,2,10,10/2/2005
660,ok,NDTV India,15200000,6624168155,News & Politics,91704,India,IN,900,101,16,49662000,12400,198600,149000,2400000,100000,2008,Jan,19,1,1/19/2008
661,ok,It's Mamix,15100000,1777072487,People & Blogs,210,United States,US,5778,150,44,15984000,4000,63900,48000,767200,,2017,Feb,1,2,2/1/2017
662,ok,Kim Loaiza,15100000,1576633086,Music,18,,,6655,,127,26053000,6500,104200,78200,1300000,100000,2019,Jan,18,1,1/18/2019
663,ok,Daftar Populer,15100000,2143140898,Education,3810,Indonesia,ID,4520,24,144,17231000,4300,68900,51700,827100,100000,2017,Jan,16,1,1/16/2017
664,ok,Musas,15100000,2400037562,Howto & Style,159,Andorra,AD,3889418,504,7615,86,0.02,0.34,0.26,4,,2006,Mar,12,3,3/12/2006
665,ok,Ranz Kyle,15100000,1760131384,People & Blogs,533,Philippines,PH,5849,7,145,12376000,3100,49500,37100,594000,,2008,Apr,27,4,4/27/2008
666,ok,PowerfulJRE,15100000,3060202847,People & Blogs,1037,United States,US,2796,149,43,43409000,10900,173600,130200,2100000,200000,2013,Jan,12,1,1/12/2013
667,ok,Mariale,15100000,2761547758,Howto & Style,2618,United States,US,3241,150,145,11956000,3000,47800,35900,573900,,2010,Jan,6,1,1/6/2010
668,ok,Makiman131,15100000,4236036141,Gaming,2997,Spain,ES,1760,12,145,5972000,1500,23900,17900,286600,,2013,Feb,12,2,2/12/2013
669,corrupted,Hongyu ASMR ��,15100000,4967784343,People & Blogs,1,,,4057925,,7694,,0,0,0,0,,2021,Mar,16,3,3/16/2021
670,corrupted,Mohamed Ramadan I �������,15100000,5324913850,People & Blogs,753,Egypt,EG,1242,2,145,46060000,11500,184200,138200,2200000,100000,2014,Oct,31,10,10/31/2014
671,ok,EdisonPts,15100000,6668507856,Gaming,3733,Russia,RU,894,10,47,95603000,23900,382400,286800,4600000,100000,2013,Jun,24,6,6/24/2013
672,ok,BIGBANG,15100000,7857371770,Music,776,South Korea,KR,680,13,127,40806000,10200,163200,122400,2000000,,2005,Oct,10,10,10/10/2005
673,corrupted,Rub������,15100000,9477021288,Comedy,921,Argentina,AR,491,13,28,512343000,128100,2000000,1500000,24600000,700000,2016,Aug,2,8,8/2/2016
674,ok,ABS-CBN News,15100000,10489367372,News & Politics,209520,Philippines,PH,404,7,17,181644000,45400,726600,544900,8700000,100000,2009,Oct,22,10,10/22/2009
675,ok,Chapitosiki,15100000,13897932103,Entertainment,2717,Russia,RU,256,9,143,713509000,178400,2900000,2100000,34200000,700000,2020,Jan,24,1,1/24/2020
676,ok,AdeleVEVO,15100000,12413869881,Music,52,United Kingdom,GB,309,25,127,84750000,21200,339000,254300,4100000,100000,2009,Oct,15,10,10/15/2009
677,ok,MoreAliA,15000000,4352427049,Gaming,2324,United Kingdom,GB,1663,25,47,250995000,62700,1000000,753000,12000000,600000,2013,May,6,5,5/6/2013
678,ok,Chetan Monga Vlogs,15000000,9924103188,People & Blogs,899,India,IN,457,104,45,113572000,28400,454300,340700,5500000,400000,2014,Aug,17,8,8/17/2014
679,corrupted,Little Angel - M����������,15000000,8897705695,Entertainment,795,Brazil,BR,548,36,34,145478000,36400,581900,436400,7000000,,2018,Jan,26,1,1/26/2018
680,ok,League of Legends,15000000,7159750970,Gaming,1362,United States,US,805,151,48,43133000,10800,172500,129400,2100000,,2009,Feb,9,2,2/9/2009
681,ok,TheRichest,15000000,2730879024,Education,0,United States,US,4057944,7692,7445,,0,0,0,0,,2006,May,25,5,5/25/2006
682,ok,XpressTV,15000000,4008801873,Entertainment,724,Mexico,MX,1907,26,146,33880000,8500,135500,101600,1600000,100000,2014,Nov,17,11,11/17/2014
